True Class (Actual),Misclassified As (Predicted),Confidence,Image Filename
Tomato___Late_blight,Tomato___Bacterial_spot,99.48%,e131a4c1-21d7-40cd-a19f-02456e411750___GHLB Leaf 3 Day 1.JPG
Tomato___Late_blight,Tomato___Early_blight,99.55%,ee85b4a0-f9ee-40a6-b612-66dd11414929___RS_Late.B 5069.JPG
Tomato___Late_blight,Tomato___Early_blight,57.07%,f8e2f06c-ffc4-426b-a7ad-300f6472fdcc___RS_Late.B 5238.JPG
Tomato___Septoria_leaf_spot,Tomato___Leaf_Mold,99.09%,c1e4747a-8752-49e5-83a8-c9aac9b4216a___Matt.S_CG 7592.JPG
Tomato___Septoria_leaf_spot,Potato___Late_blight,88.53%,f4e9db97-3802-4b3c-8474-17aeaa385bb3___Matt.S_CG 1399.JPG
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Late_blight,83.55%,98916e40-9711-49d6-af8b-77c10be459e2___Com.G_SpM_FL 8551.JPG
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,55.78%,d40c6c6f-396b-4032-ac0c-92d49b6ecea9___Com.G_SpM_FL 9457.JPG
Tomato___Target_Spot,Tomato___healthy,95.19%,02da8ab6-7510-4bf7-a0e3-457f14b6adad___Com.G_TgS_FL 1022_newPixel25.JPG
Tomato___Target_Spot,Tomato___healthy,83.23%,03ffc2bf-ec6a-43d4-b349-9fd4138467bc___Com.G_TgS_FL 0738_new30degFlipLR.JPG
Tomato___Target_Spot,Tomato___healthy,82.26%,0a578317-a98b-4e26-b17b-cd2930330375___Com.G_TgS_FL 0785_new30degFlipLR.JPG
Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite,90.38%,1c051bf2-9fb9-4d1f-b5c3-d813c0278aca___Com.G_TgS_FL 9683_180deg.JPG
Tomato___Target_Spot,Strawberry___healthy,82.03%,2cd822da-0f2b-48a2-9216-6da7fd957874___Com.G_TgS_FL 0761_new30degFlipLR.JPG
Tomato___Target_Spot,Tomato___Septoria_leaf_spot,96.27%,421329db-4c95-4900-9e1f-c68be8473701___Com.G_TgS_FL 0640.JPG
Tomato___Target_Spot,Tomato___healthy,100.00%,4d1a4a12-f8e4-4ff1-bdba-362f986600e2___Com.G_TgS_FL 1064_newPixel25.JPG
Tomato___Target_Spot,Tomato___healthy,84.75%,4f742898-78c7-4f18-b98b-937734263cbe___Com.G_TgS_FL 0884_new30degFlipLR.JPG
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,66.76%,b2eabe08-6b11-48f8-a997-6fe0d730316a___YLCV_GCREC 2811.JPG
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening),95.68%,df50d3b3-8873-40a4-83b2-f951341e430b___UF.GRC_YLCV_Lab 08550.JPG
Tomato___healthy,Tomato___Late_blight,37.82%,fde29807-8223-4fc5-a06b-7cc93101a6d1___GH_HL Leaf 174.JPG
